# Feminine 1st Declension:
"alkemam","m.","f."
"daemag","n.","f."
"alankaed","n.","f."
"borskaed","n.","f."
"djaenwaed","n.","f."
"djaespraed","n.","f."
"faed","n.","f."
"samhaed","n.","f."

# Masculine 2nd Declension:
"manchinul","f.","m."
"daemak","n.","m."
"drek","f.","m."
"hainrak","f.","m."
"kannek","n.","m."
"skalzik","n.","m."
"farsax","n.","m."

# Neutral 2nd Declension:
"bennathed","f.","n."
"tavinshaed","f.","n."
"bennathed","f.","n."
"tavinshaed","f.","n."
"fulchestadz","f.","n."
"radrid abbadudz","m.","n."

# Feminine 3rd Declension:
"Ord","n.","f."

# Masculine 4th Declension:

# Neutral 5th Declension:

# Nouns with verb endings:
"blekruga","f.","v."
"lezna","f.","v."
